A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,0.5-1.0,3,LITTLE ANDAMAN,35,28,0,202,202
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,3.0-4.0,1,FERRARGUNJ,2,8,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,3.0-4.0,2,PORT BLAIR,0,0,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,3.0-4.0,3,LITTLE ANDAMAN,0,0,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,3.0-4.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,3.0-4.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,3.0-4.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,3.0-4.0,1,FERRARGUNJ,105,364,1,227,228
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,3.0-4.0,2,PORT BLAIR,84,288,1,227,228
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,3.0-4.0,3,LITTLE ANDAMAN,1,3,1,227,228
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,3.0-4.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,3.0-4.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,3.0-4.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,3.0-4.0,1,FERRARGUNJ,107,372,1,229,230
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,3.0-4.0,2,PORT BLAIR,84,288,1,229,230
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,3.0-4.0,3,LITTLE ANDAMAN,1,3,1,229,230
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,2.0-3.0,1,FERRARGUNJ,12,28,0,14,14
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,2.0-3.0,2,PORT BLAIR,4,10,0,14,14
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,2.0-3.0,3,LITTLE ANDAMAN,0,0,0,14,14
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,2.0-3.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,2.0-3.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,2.0-3.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,2.0-3.0,1,FERRARGUNJ,488,1073,0,730,730
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,2.0-3.0,2,PORT BLAIR,225,503,0,730,730
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,2.0-3.0,3,LITTLE ANDAMAN,391,842,0,730,730
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,2.0-3.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,2.0-3.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,2.0-3.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,2.0-3.0,1,FERRARGUNJ,500,1101,0,744,744
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,2.0-3.0,2,PORT BLAIR,229,513,0,744,744
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,2.0-3.0,3,LITTLE ANDAMAN,391,842,0,744,744
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,5.0-7.5,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,5.0-7.5,2,PORT BLAIR,1,5,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,5.0-7.5,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,5.0-7.5,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,5.0-7.5,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,5.0-7.5,3,LITTLE ANDAMAN,0,0,0,0,0
